"y","x1","x2","x3","date","month_factor","fev","mar","abril","maio","jun","jul","ago","set","out","nov","dez","areas"
5,0,0,1,2023-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
5,0,0,1,2023-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
2,0,0,1,2023-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Vegetation"
14,0,0,1,2023-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Vegetation"
88,0,0,1,2023-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
190,0,0,1,2023-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
563,0,0,1,2023-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
835,0,0,1,2023-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
558,0,0,1,2023-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
136,0,0,1,2023-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
24,0,0,1,2023-12-01,"Dec",0,0,0,0,0,0,0,0,0,0,1,"Vegetation"
45,0,0,1,2024-01-01,"Jan",0,0,0,0,0,0,0,0,0,0,0,"Vegetation"
27,0,0,1,2024-02-01,"Feb",1,0,0,0,0,0,0,0,0,0,0,"Vegetation"
6,0,0,1,2024-03-01,"Mar",0,1,0,0,0,0,0,0,0,0,0,"Vegetation"
1,0,0,1,2024-04-01,"April",0,0,1,0,0,0,0,0,0,0,0,"Vegetation"
17,0,0,1,2024-05-01,"May",0,0,0,1,0,0,0,0,0,0,0,"Vegetation"
60,0,0,1,2024-06-01,"June",0,0,0,0,1,0,0,0,0,0,0,"Vegetation"
371,0,0,1,2024-07-01,"July",0,0,0,0,0,1,0,0,0,0,0,"Vegetation"
1864,0,0,1,2024-08-01,"Aug",0,0,0,0,0,0,1,0,0,0,0,"Vegetation"
1384,0,0,1,2024-09-01,"Sep",0,0,0,0,0,0,0,1,0,0,0,"Vegetation"
808,0,0,1,2024-10-01,"Oct",0,0,0,0,0,0,0,0,1,0,0,"Vegetation"
126,0,0,1,2024-11-01,"Nov",0,0,0,0,0,0,0,0,0,1,0,"Vegetation"
